S,B,latency,memory,energy,is_validation
128,167,0.022714479446411133,297500672,1.5323091873086176,True
128,256,0.0335185432434082,431923200,2.276671437578532,False
224,1,0.0006948799788951874,18699776,0.042461868655543515,False
224,2,0.0007174719870090484,21308928,0.05219464140064066,False
224,4,0.0013759360313415525,27377664,0.09020801869630522,False
224,8,0.00262118399143219,41025536,0.1730018581912087,False
224,16,0.005038335800170898,68780032,0.3303650960241652,False
224,32,0.009172863960266113,174673920,0.6294703223049297,False
224,64,0.01769068717956543,335904768,1.2001769543041714,False
224,95,0.03934110450744629,491986944,2.707803396823885,True
224,98,0.042514881134033206,549808128,2.8868644630002382,True
224,128,0.05224068832397461,655458304,3.5931040190905157,False
224,167,0.07408076858520508,877756416,4.99444233977928,True
224,256,0.11056166458129882,1292992512,7.4605871279618965,False
256,1,0.000646255999803543,19499008,0.04286463325958468,False
256,2,0.0007949919998645783,22906880,0.058850650961471164,False
256,4,0.001659999966621399,32210944,0.11003650820987679,False
256,8,0.0033280960321426393,49381376,0.218965369709951,False
256,16,0.005915280103683472,119316480,0.3923974667082807,False
256,32,0.011334032058715821,223518720,0.7632822832158244,False
256,64,0.0224385929107666,431923200,1.5289948523884267,False
256,95,0.04910156631469727,640778240,3.3541686364956873,True
256,98,0.05297967910766602,713072640,3.6114405920328325,True
256,128,0.06516331100463868,848732160,4.488563456178707,False
256,167,0.08882086181640625,1142464512,6.0448841250564165,True
256,256,0.13372766876220704,1683062784,9.026811321469179,False
352,1,0.000868287980556488,22535168,0.05698039766738766,True
352,2,0.0016330400109291075,30580736,0.11043247712436614,True
352,4,0.003261407971382141,48529408,0.21330615292242516,True
352,8,0.006136431932449341,82739200,0.40843923584648545,True
352,16,0.010882656097412109,191234048,0.7437867620835262,True
352,32,0.02138243293762207,366837760,1.451051788834663,True
352,64,0.04251064109802247,717586432,2.896485237786372,True
352,95,0.09532643127441406,1063047168,6.530991456526623,True
352,98,0.10253268814086913,1179836416,7.033220739174135,True
352,128,0.12732387161254882,1418821632,8.744266886442126,True
352,167,0.173634162902832,1902612480,11.750099438741227,True
352,256,0.26158746337890626,2819719168,17.49564630491454,True
384,1,0.0010024320185184478,23822336,0.06538402231934086,False
384,2,0.0018703680038452148,33783808,0.12370034351441883,False
384,4,0.00349072003364563,53837824,0.2329303014724102,False
384,8,0.006959312200546265,95125504,0.4666320576716369,False
384,16,0.012703328132629395,227639296,0.8624936084424473,False
384,32,0.02494320011138916,436260864,1.6862904317856555,False
384,64,0.04985078239440918,857407488,3.381285112003527,False
384,95,0.11102146911621094,1273507840,7.5506249246681305,True
384,98,0.11960585784912109,1415464960,8.121780516295747,True
384,128,0.14755030822753906,1699840000,10.103359764919922,False
384,167,0.20137161254882813,2284945408,13.639758231036359,True
384,256,0.30442535400390625,3384287232,20.45687260029995,False
400,1,0.001123408019542694,24609792,0.0667111445890993,True
400,2,0.0020328639745712277,35489792,0.13274559710428455,True
400,4,0.003784575939178467,57741312,0.25098154907533426,True
400,8,0.007602655887603759,102244352,0.5103978936628819,True
400,16,0.013957552433013916,259096576,0.9438948700217124,True
400,32,0.027762256622314452,499458048,1.8865860829912264,True
400,64,0.05556038284301758,983007232,3.763352491751948,True
400,95,0.1251833724975586,1459593216,8.504779192904993,True
400,98,0.13513474273681642,1628536832,9.1633949903201,True
400,128,0.1669357452392578,1948557312,11.425683624922305,True
400,167,0.22659368896484375,2622586880,15.297131982129255,True
400,256,0.34172613525390627,3883048960,22.962797916216065,True
512,1,0.0017200800180435182,32210944,0.1076502935988253,False
512,2,0.003163583993911743,49381376,0.20902890264935675,False
512,4,0.0061590240001678466,85032960,0.4112741918520664,False
512,8,0.012038880348205567,156336128,0.8045392449580603,False
512,16,0.021620656013488768,399734784,1.4626992592278796,False
512,32,0.04337439918518067,784355328,2.9440599288136946,False
512,64,0.08759592056274415,1553596416,5.868404993704381,False
512,95,0.1958079147338867,2314448896,13.34923244069432,True
512,98,0.21146815490722656,2575337472,14.374637813961764,True
512,128,0.26126800537109374,3092348928,17.90852433096286,False
512,167,0.35863226318359376,4162054144,24.200522032371694,True
512,256,0.5378099365234374,6169042944,36.081206041918406,False
